2023-09-05 04:15:55 RAM 3538/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 39MB) CPU [27%@1479,25%@1479,25%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:16:55 RAM 3536/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 39MB) CPU [31%@1428,32%@1428,34%@1428,31%@1428] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36.75C
2023-09-05 04:17:55 RAM 3535/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 39MB) CPU [31%@1224,33%@1224,30%@1224,35%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36.25C
2023-09-05 04:18:55 RAM 3538/3956MB (lfb 7x4MB) SWAP 2006/4026MB (cached 39MB) CPU [25%@1479,24%@1479,22%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:19:55 RAM 3530/3956MB (lfb 7x4MB) SWAP 2006/4026MB (cached 39MB) CPU [35%@1224,34%@1224,32%@1224,31%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-05 04:20:55 RAM 3536/3956MB (lfb 7x4MB) SWAP 2006/4026MB (cached 39MB) CPU [31%@1224,29%@1224,26%@1224,27%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:21:55 RAM 3543/3956MB (lfb 7x4MB) SWAP 2006/4026MB (cached 39MB) CPU [29%@1224,28%@1224,26%@1224,29%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:22:55 RAM 3533/3956MB (lfb 7x4MB) SWAP 2006/4026MB (cached 39MB) CPU [36%@1479,33%@1479,31%@1479,31%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@34.5C AO@45C thermal@36C
2023-09-05 04:23:55 RAM 3537/3956MB (lfb 7x4MB) SWAP 2005/4026MB (cached 39MB) CPU [26%@1224,25%@1224,28%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-05 04:24:55 RAM 3542/3956MB (lfb 7x4MB) SWAP 2005/4026MB (cached 39MB) CPU [32%@1479,34%@1479,34%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@35C AO@44.5C thermal@35.5C
2023-09-05 04:25:55 RAM 3543/3956MB (lfb 7x4MB) SWAP 2005/4026MB (cached 39MB) CPU [33%@1479,30%@1479,31%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@35.75C
2023-09-05 04:26:55 RAM 3548/3956MB (lfb 7x4MB) SWAP 2005/4026MB (cached 39MB) CPU [26%@1479,21%@1479,26%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@35.75C
2023-09-05 04:27:55 RAM 3541/3956MB (lfb 7x4MB) SWAP 2005/4026MB (cached 39MB) CPU [34%@1224,33%@1224,32%@1224,31%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@35.5C
2023-09-05 04:28:55 RAM 3545/3956MB (lfb 7x4MB) SWAP 2005/4026MB (cached 39MB) CPU [37%@1479,29%@1479,32%@1479,30%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34C AO@44C thermal@35C
2023-09-05 04:29:55 RAM 3540/3956MB (lfb 7x4MB) SWAP 2008/4026MB (cached 39MB) CPU [28%@1479,31%@1479,23%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@34C AO@44C thermal@36.25C
