2023-08-31 05:40:57 RAM 1889/3956MB (lfb 20x4MB) SWAP 978/4026MB (cached 61MB) CPU [16%@307,16%@307,16%@307,10%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@34.5C CPU@38C PMIC@50C GPU@35C AO@46C thermal@36.5C
2023-08-31 05:41:57 RAM 1889/3956MB (lfb 20x4MB) SWAP 977/4026MB (cached 62MB) CPU [13%@1479,11%@1479,14%@1479,11%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C CPU@36C PMIC@50C GPU@33C AO@43C thermal@34.75C
2023-08-31 05:42:57 RAM 1963/3956MB (lfb 20x4MB) SWAP 945/4026MB (cached 101MB) CPU [33%@102,33%@102,31%@102,32%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@33.5C PMIC@50C GPU@32C AO@41.5C thermal@33C
2023-08-31 05:43:57 RAM 2128/3956MB (lfb 20x4MB) SWAP 901/4026MB (cached 152MB) CPU [53%@307,55%@307,52%@403,52%@403] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@32.5C
2023-08-31 05:44:57 RAM 2148/3956MB (lfb 20x4MB) SWAP 896/4026MB (cached 149MB) CPU [34%@1479,34%@1479,33%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 56% PLL@30.5C CPU@34C PMIC@50C GPU@31C AO@40.5C thermal@31.75C
2023-08-31 05:45:57 RAM 3061/3956MB (lfb 1x2MB) SWAP 886/4026MB (cached 137MB) CPU [18%@614,23%@614,18%@614,14%@614] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@31.5C PMIC@50C GPU@29.5C AO@40C thermal@31C
2023-08-31 05:46:59 RAM 3462/3956MB (lfb 7x2MB) SWAP 916/4026MB (cached 130MB) CPU [14%@102,14%@102,13%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@31C PMIC@50C GPU@30C AO@39C thermal@29.5C
2023-08-31 05:48:00 RAM 3533/3956MB (lfb 1x4MB) SWAP 960/4026MB (cached 122MB) CPU [12%@204,11%@204,9%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@30C
2023-08-31 05:48:59 RAM 3508/3956MB (lfb 6x1MB) SWAP 963/4026MB (cached 132MB) CPU [17%@102,13%@102,11%@102,15%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@27C CPU@30C PMIC@50C GPU@27C AO@37.5C thermal@28.75C
2023-08-31 05:49:58 RAM 2010/3956MB (lfb 3x4MB) SWAP 936/4026MB (cached 145MB) CPU [23%@1479,20%@1479,17%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@30.5C PMIC@50C GPU@28C AO@38C thermal@30.25C
2023-08-31 05:50:58 RAM 2083/3956MB (lfb 3x4MB) SWAP 922/4026MB (cached 144MB) CPU [56%@1479,54%@1479,53%@1479,50%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@31.25C
