2023-08-30 19:38:13 RAM 3180/3956MB (lfb 94x4MB) SWAP 1691/4026MB (cached 108MB) CPU [27%@307,24%@307,27%@307,25%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@43C AO@53C thermal@43.75C
2023-08-30 19:39:13 RAM 3177/3956MB (lfb 94x4MB) SWAP 1691/4026MB (cached 108MB) CPU [28%@1479,27%@1479,25%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@43.5C AO@53C thermal@44.5C
2023-08-30 19:40:13 RAM 3178/3956MB (lfb 94x4MB) SWAP 1691/4026MB (cached 108MB) CPU [40%@204,27%@204,26%@204,30%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@46C PMIC@50C GPU@43.5C AO@53C thermal@45C
2023-08-30 19:41:13 RAM 3201/3956MB (lfb 94x4MB) SWAP 1692/4026MB (cached 108MB) CPU [23%@1479,20%@1479,20%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@47.5C PMIC@50C GPU@43.5C AO@53C thermal@44.75C
2023-08-30 19:42:13 RAM 3178/3956MB (lfb 94x4MB) SWAP 1693/4026MB (cached 107MB) CPU [27%@307,29%@307,29%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45.5C PMIC@50C GPU@43.5C AO@53C thermal@44.5C
2023-08-30 19:43:13 RAM 3183/3956MB (lfb 94x4MB) SWAP 1692/4026MB (cached 107MB) CPU [27%@1479,27%@1479,28%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@47.5C PMIC@50C GPU@44C AO@53C thermal@44.75C
2023-08-30 19:44:13 RAM 3181/3956MB (lfb 94x4MB) SWAP 1692/4026MB (cached 107MB) CPU [26%@204,22%@204,22%@204,21%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45C PMIC@50C GPU@44C AO@53C thermal@44.5C
2023-08-30 19:45:13 RAM 3177/3956MB (lfb 94x4MB) SWAP 1693/4026MB (cached 108MB) CPU [26%@1479,29%@1479,25%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@44C AO@54C thermal@45C
2023-08-30 19:46:13 RAM 3180/3956MB (lfb 94x4MB) SWAP 1693/4026MB (cached 108MB) CPU [23%@403,26%@403,29%@403,27%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44.5C AO@54C thermal@46C
2023-08-30 19:47:13 RAM 3184/3956MB (lfb 94x4MB) SWAP 1693/4026MB (cached 108MB) CPU [29%@1479,26%@1479,28%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@45.75C
2023-08-30 19:48:13 RAM 3183/3956MB (lfb 94x4MB) SWAP 1694/4026MB (cached 108MB) CPU [35%@1479,21%@1479,19%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44C AO@54.5C thermal@45.25C
2023-08-30 19:49:13 RAM 3177/3956MB (lfb 94x4MB) SWAP 1700/4026MB (cached 108MB) CPU [26%@1479,32%@1479,27%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47.5C PMIC@50C GPU@44.5C AO@54.5C thermal@45.5C
2023-08-30 19:50:13 RAM 3189/3956MB (lfb 94x4MB) SWAP 1716/4026MB (cached 107MB) CPU [29%@1224,26%@1224,30%@1224,25%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@46.5C PMIC@50C GPU@45C AO@54.5C thermal@46C
2023-08-30 19:51:13 RAM 3176/3956MB (lfb 94x4MB) SWAP 1716/4026MB (cached 108MB) CPU [15%@1224,16%@1224,23%@1224,18%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47.5C PMIC@50C GPU@44.5C AO@54C thermal@45.75C
2023-08-30 19:52:13 RAM 3169/3956MB (lfb 94x4MB) SWAP 1718/4026MB (cached 108MB) CPU [20%@1224,19%@1224,17%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@45C AO@54.5C thermal@45.5C
2023-08-30 19:53:13 RAM 3169/3956MB (lfb 94x4MB) SWAP 1720/4026MB (cached 108MB) CPU [20%@1224,25%@1224,24%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44.5C AO@54.5C thermal@46C
2023-08-30 19:54:13 RAM 3169/3956MB (lfb 94x4MB) SWAP 1723/4026MB (cached 108MB) CPU [23%@1479,19%@1479,28%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@45.75C
2023-08-30 19:55:13 RAM 3161/3956MB (lfb 94x4MB) SWAP 1725/4026MB (cached 108MB) CPU [11%@1479,16%@1479,14%@1479,13%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44C AO@54C thermal@46.25C
2023-08-30 19:56:13 RAM 3164/3956MB (lfb 94x4MB) SWAP 1727/4026MB (cached 108MB) CPU [21%@1479,24%@1479,22%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@48.5C PMIC@50C GPU@44.5C AO@54C thermal@45.5C
2023-08-30 19:57:13 RAM 3164/3956MB (lfb 94x4MB) SWAP 1738/4026MB (cached 108MB) CPU [21%@1224,21%@1224,25%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44.5C AO@54C thermal@45.25C
2023-08-30 19:58:13 RAM 3150/3956MB (lfb 94x4MB) SWAP 1742/4026MB (cached 108MB) CPU [21%@1224,21%@1224,19%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45.25C
2023-08-30 19:59:13 RAM 3154/3956MB (lfb 94x4MB) SWAP 1746/4026MB (cached 108MB) CPU [21%@1479,21%@1479,13%@1479,14%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45C
2023-08-30 20:00:13 RAM 3154/3956MB (lfb 94x4MB) SWAP 1749/4026MB (cached 108MB) CPU [24%@1224,20%@1224,23%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45.25C
2023-08-30 20:01:13 RAM 3148/3956MB (lfb 94x4MB) SWAP 1751/4026MB (cached 108MB) CPU [25%@1224,23%@1224,23%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@44C AO@54C thermal@45C
2023-08-30 20:02:13 RAM 3151/3956MB (lfb 94x4MB) SWAP 1754/4026MB (cached 108MB) CPU [16%@1479,12%@1479,12%@1479,13%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45.5C
2023-08-30 20:03:13 RAM 3150/3956MB (lfb 94x4MB) SWAP 1754/4026MB (cached 108MB) CPU [24%@1479,22%@1479,19%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46C PMIC@50C GPU@43.5C AO@53.5C thermal@44.75C
2023-08-30 20:04:13 RAM 3157/3956MB (lfb 94x4MB) SWAP 1754/4026MB (cached 108MB) CPU [23%@1224,24%@1224,19%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@44C AO@53.5C thermal@45C
2023-08-30 20:05:13 RAM 3146/3956MB (lfb 94x4MB) SWAP 1754/4026MB (cached 108MB) CPU [15%@1224,21%@1224,22%@1224,17%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@43.5C AO@53.5C thermal@45C
